,method,fct_mean,fct_std,location,forecast_date,target_end_date,target,FIPS,cases,q_0.025,q_0.1,q_0.25,q_0.5,q_0.75,q_0.9,q_0.975,wis
2663479,lstm,722.7436791992187,132.55318443719403,12,2020-12-21,2021-01-02,2-step_ahead,12113,1110.0,462.9442116662232,552.8699381658105,633.3379149404807,722.7436791992187,812.1494434579569,892.617420232627,982.5431467322142,265.1387867686552
2663480,lstm,754.4433422851563,83.55889134545403,12,2020-12-28,2021-01-02,1-step_ahead,12113,1110.0,590.6709246599708,647.3583142662185,698.0837265348995,754.4433422851563,810.8029580354131,861.5283703040941,918.2157599103418,278.576192847928
2736655,AR_spatial,838.1774480810997,118.85764436231246,12,2020-12-21,2020-12-26,1-step_ahead,12113,780.0,605.2207458436969,685.8552478716348,758.0091852262689,838.1774480810997,918.3457109359304,990.4996482905646,1071.1341503185022,31.79575160620809
2736656,AR_spatial,768.059435607695,122.37307581904341,12,2020-12-14,2020-12-26,2-step_ahead,12113,780.0,528.2126143249807,611.2320287112917,685.5200502677823,768.059435607695,850.5988209476077,924.8868425040982,1007.9062568904097,25.885084945578637
2736657,AR_spatial,589.5035698124785,70.23513326148125,12,2020-12-07,2020-12-26,3-step_ahead,12113,780.0,451.84523817060403,499.4936248249936,542.1306923239537,589.5035698124785,636.8764473010035,679.5135147999632,727.161901454353,125.79077024636976
2736658,AR_spatial,530.2966979117068,37.64802835409317,12,2020-11-30,2020-12-26,4-step_ahead,12113,780.0,456.50791824874136,482.04880823485115,504.9034886717795,530.2966979117068,555.6899071516341,578.5445875885624,604.0854775746723,215.01922864793167
2736659,AR,914.1188605700577,62.88555199481583,12,2020-12-21,2020-12-26,1-step_ahead,12113,780.0,790.8654435122978,833.5277829609648,871.7032003141318,914.1188605700577,956.5345208259836,994.7099381791504,1037.3722776278178,76.18416387859794
2736660,AR,643.701069070692,39.39243716068057,12,2020-12-14,2020-12-26,2-step_ahead,12113,780.0,566.4933109725008,593.2176295568047,617.1312739705697,643.701069070692,670.2708641708143,694.1845085845795,720.9088271688832,100.00778254232145
2736661,AR,472.6147071801696,21.91336927839873,12,2020-12-07,2020-12-26,3-step_ahead,12113,780.0,429.66529261458163,444.5315944750808,457.834364209628,472.6147071801696,487.3950501507112,500.69781988525847,515.5641217457576,287.19711982364464
2736662,AR,325.90952223036936,15.383727889887169,12,2020-11-30,2020-12-26,4-step_ahead,12113,780.0,295.7579696182261,306.1944816691723,315.53335544883487,325.90952223036936,336.2856890119038,345.6245627915664,356.0610748425126,439.9178803921276
2736663,ARIMA,873.7080280044665,279.3451370273084,12,2020-12-14,2020-12-26,2-step_ahead,12113,780.0,326.20162017453583,515.7128303198485,685.2925963124271,873.7080280044665,1062.123459696506,1231.7032256890845,1421.2144358343976,68.58173993619233
2736664,ARIMA,905.0004795893657,116.01342232442991,12,2020-12-21,2020-12-26,1-step_ahead,12113,780.0,677.618350110248,756.3232965853058,826.7506153463686,905.0004795893657,983.2503438323628,1053.6776625934258,1132.3826090684834,54.13723723923368
2736665,ARIMA,651.5706021190928,496.2756608179098,12,2020-12-07,2020-12-26,3-step_ahead,12113,780.0,0.0,15.567752056219433,316.8377556256254,651.5706021190928,986.3034486125599,1287.5734521819659,1624.2530237260114,114.1108622265463
2736666,ARIMA,315.74270752519084,470.2991495005197,12,2020-11-30,2020-12-26,4-step_ahead,12113,780.0,0.0,0.0,0.0,315.74270752519084,632.9546633892262,918.4553188418761,1237.512102506028,188.6274237549495
2736667,PatchSim_adpt,1045.0,76.0204081632653,12,2020-12-21,2020-12-26,1-step_ahead,12113,780.0,896.0027379099652,947.5759269050278,993.7250138881552,1045.0,1096.274986111845,1142.4240730949718,1193.9972620900348,194.96452842359048
2736668,PatchSim_adpt,1162.0,161.63265306122454,12,2020-12-14,2020-12-26,2-step_ahead,12113,780.0,845.2058212743422,954.8594204262604,1052.9804322132047,1162.0,1271.0195677867953,1369.1405795737394,1478.7941787256573,233.0923664737816
2736669,PatchSim_adpt,766.0,136.45408163265296,12,2020-12-07,2020-12-26,3-step_ahead,12113,780.0,498.5549144565117,591.1270580587228,673.9631205663561,766.0,858.0368794336438,940.8729419412773,1033.4450855434884,28.961509252071934
2736670,PatchSim_adpt,966.0,240.969387755102,12,2020-11-30,2020-12-26,4-step_ahead,12113,780.0,493.7086786233329,657.1853038741251,803.4686178481586,966.0,1128.5313821518414,1274.814696125875,1438.291321376667,80.88908977659645
2736671,ENKF,378.761998023796,6.903832335793624,12,2020-11-30,2020-12-26,4-step_ahead,12113,780.0,365.2307352903375,369.9143808856023,374.10543387623085,378.761998023796,383.41856217136115,387.60961516198967,392.29326075725464,394.87769472445456
2736672,ENKF,468.98501729680174,5.2385199125293225,12,2020-12-07,2020-12-26,3-step_ahead,12113,780.0,458.71770693594834,462.27158390176317,465.45168930960267,468.98501729680174,472.5183452840009,475.69845069184026,479.2523276576552,306.1888811167865
2736673,ENKF,650.6910372546828,4.19168174674643,12,2020-12-14,2020-12-26,2-step_ahead,12113,780.0,642.4754919964057,645.3191809498752,647.8637908804183,650.6910372546828,653.5182836289472,656.0628935594904,658.9065825129597,125.4472838235054
2736674,ENKF,706.0502351546656,1.9448756743860405,12,2020-12-21,2020-12-26,1-step_ahead,12113,780.0,702.238348878461,703.5577766893666,704.7384364468866,706.0502351546656,707.3620338624447,708.5426936199648,709.8621214308702,72.15800539147061
2736675,lstm,599.5613555908202,92.41693692631495,12,2020-11-30,2020-12-26,4-step_ahead,12113,780.0,418.4274876537331,481.1242853900647,537.227078889503,599.5613555908202,661.8956322921374,717.9984257915758,780.6952235279073,95.49614568815451
2736676,lstm,605.4840216064454,97.87602160231043,12,2020-12-07,2020-12-26,3-step_ahead,12113,780.0,413.65054431585264,480.0508528927273,539.4676482457166,605.4840216064454,671.5003949671742,730.9171903201634,797.3174988970381,89.29339948487925
2736677,lstm,704.2173156738281,123.63501274561482,12,2020-12-14,2020-12-26,3-step_ahead,12113,780.0,461.8971434642725,545.7726715335589,620.826766811549,704.2173156738281,787.6078645361072,862.6619598140975,946.5374878833836,35.25472972364489
2736678,lstm,798.083779296875,126.52306186116695,12,2020-12-21,2020-12-26,1-step_ahead,12113,780.0,550.1031348352545,635.9379512912003,712.7452709080933,798.083779296875,883.4222876856569,960.22960730255,1046.0644237584956,27.582669047726974
2812731,AR_spatial,758.9647925945418,108.04216000735904,12,2020-12-14,2020-12-19,1-step_ahead,12113,841.0,547.2060501682042,620.5031932922907,686.0914630805331,758.9647925945418,831.8381221085506,897.426391896793,970.7235350208794,35.68468666655715
2812732,AR_spatial,590.7870673962386,91.02908353645559,12,2020-12-07,2020-12-19,2-step_ahead,12113,841.0,412.3733421190977,474.12860288000365,529.3888835811564,590.7870673962386,652.1852512113209,707.4455319124735,769.2007926733795,166.350389022672
2812733,AR_spatial,531.4528289193685,36.09759002014104,12,2020-11-30,2020-12-19,3-step_ahead,12113,841.0,460.7028525511997,485.1919059166696,507.10537444400285,531.4528289193685,555.8002833947339,577.7137519220672,602.2028052875372,276.2914730264596
2812734,AR_spatial,439.9163751968515,53.7529834834993,12,2020-11-23,2020-12-19,4-step_ahead,12113,841.0,334.5624635076165,371.02915506088,403.66053879477204,439.9163751968515,476.17221159893097,508.8035953328231,545.2702868860865,351.5625075418369
2812735,AR,744.1468311974339,48.29228745188068,12,2020-12-14,2020-12-19,1-step_ahead,12113,841.0,649.4956870606923,682.2577746097462,711.5741782976178,744.1468311974339,776.7194840972502,806.0358877851213,838.7979753341756,52.36283775971962
2812736,AR,590.0259263079995,56.38114043322111,12,2020-12-07,2020-12-19,2-step_ahead,12113,841.0,479.5209216515911,517.770587518615,551.997424981426,590.0259263079995,628.054427634573,662.281265097384,700.5309309644078,199.03170908674838
2812737,AR,326.71611675267536,15.787886407156297,12,2020-11-30,2020-12-19,3-step_ahead,12113,841.0,295.77242800263963,306.4831262109438,316.0673491937884,326.71611675267536,337.3648843115623,346.9491072944068,357.6598055027112,499.7389459543639
2812738,AR,361.30290782837136,16.410978441864312,12,2020-11-23,2020-12-19,4-step_ahead,12113,841.0,329.13798113125404,340.2713927140814,350.233871078645,361.30290782837136,372.37194457809767,382.33442294266126,393.4678345254887,464.57811764918404
