,method,fct_mean,fct_std,location,forecast_date,target_end_date,target,FIPS,cases,q_0.025,q_0.1,q_0.25,q_0.5,q_0.75,q_0.9,q_0.975,wis
1135360,lstm,1301.327421875,204.31229013102265,36,2021-05-17,2021-05-29,2-step_ahead,36055,638.0,900.8826916192971,1039.4906865975854,1163.5208763425371,1301.327421875,1439.1339674074634,1563.1641571524146,1701.7721521307028,475.10023480897695
1135361,lstm,1341.5274780273435,196.0649047521072,36,2021-05-24,2021-05-29,1-step_ahead,36055,638.0,957.2473260809372,1090.2601923939276,1209.2837093988762,1341.5274780273435,1473.771246655811,1592.7947636607596,1725.8076299737495,522.8983759787571
1210523,AR_spatial,1283.5889766893315,122.1107359519584,36,2021-05-17,2021-05-22,1-step_ahead,36055,972.0,1044.256332097813,1127.0977718602958,1201.2265369008353,1283.5889766893315,1365.9514164778275,1440.0801815183672,1522.9216212808506,199.09177779806882
1210524,AR_spatial,1417.2642730271689,158.80965400085202,36,2021-05-10,2021-05-22,2-step_ahead,36055,972.0,1106.0030707882318,1213.741512318781,1310.148789171408,1417.2642730271689,1524.3797568829298,1620.7870337355566,1728.5254752661062,298.95738942100286
1210525,AR_spatial,1547.6958108438605,203.6964135647401,36,2021-05-03,2021-05-22,3-step_ahead,36055,972.0,1148.4581764769935,1286.6483531441474,1410.3046677427415,1547.6958108438605,1685.0869539449798,1808.7432685435733,1946.9334452107275,388.03601359847374
1210526,AR_spatial,1563.5376619605313,171.59543726528705,36,2021-04-26,2021-05-22,4-step_ahead,36055,972.0,1227.2167850091666,1343.6292606928926,1447.7982983446805,1563.5376619605313,1679.2770255763821,1783.4460632281705,1899.858538911896,433.45159455315064
1210527,AR,1361.7579642302771,70.94834021558269,36,2021-05-17,2021-05-22,1-step_ahead,36055,972.0,1222.7017726448405,1270.834007754206,1313.9040359614419,1361.7579642302771,1409.6118924991122,1452.681920706348,1500.814155815714,324.3952467098658
1210528,AR,1270.236065009911,92.01610225646343,36,2021-05-10,2021-05-22,2-step_ahead,36055,972.0,1089.887818589488,1152.3126851078282,1208.1721471849319,1270.236065009911,1332.2999828348902,1388.1594449119941,1450.5843114303339,213.46420874318025
1210529,AR,1547.3736180970386,187.082648409184,36,2021-05-03,2021-05-22,3-step_ahead,36055,972.0,1180.6983650826685,1307.6175571420188,1421.188289305507,1547.3736180970386,1673.5589468885705,1787.1296790520585,1914.048871111409,403.0196170903434
1210530,AR,1829.431235376388,127.45765915939621,36,2021-04-26,2021-05-22,4-step_ahead,36055,972.0,1579.6188138701898,1666.0876727400134,1743.4623506893897,1829.431235376388,1915.4001200633866,1992.7747980127624,2079.2436568825865,740.0080659811061
1210531,ARIMA,1468.3319074165893,685.0100221138117,36,2021-04-26,2021-05-22,4-step_ahead,36055,972.0,125.73693502453241,590.4562411628925,1006.299668719232,1468.3319074165893,1930.3641461139466,2346.207573670286,2810.9268798086464,216.0533210418707
1210532,ARIMA,1094.1711061335864,103.53192931661877,36,2021-05-17,2021-05-22,1-step_ahead,36055,972.0,891.252253423067,961.4896000340207,1024.3398809915018,1094.1711061335864,1164.002331275671,1226.852612233152,1297.0899588441055,52.86379728136467
1210533,ARIMA,1568.8944052281188,587.1265886315308,36,2021-05-03,2021-05-22,3-step_ahead,36055,972.0,418.14743714445433,816.4614063945198,1172.88353912856,1568.8944052281188,1964.9052713276776,2321.327404061717,2719.6413733117834,258.6743208466576
1210534,ARIMA,1273.275457203331,332.27111598614187,36,2021-05-10,2021-05-22,2-step_ahead,36055,972.0,622.0360367675619,847.4528883260393,1049.1619951844648,1273.275457203331,1497.388919222197,1699.0980260806225,1924.5148776391,130.73798274080286
1210535,PatchSim_adpt,1138.0,84.6938775510204,36,2021-05-17,2021-05-22,1-step_ahead,36055,972.0,972.0030502889546,1029.460428632447,1080.8748476874748,1138.0,1195.1251523125252,1246.539571367553,1303.9969497110453,87.97390414977194
1210536,PatchSim_adpt,898.0,153.57142857142858,36,2021-05-10,2021-05-22,2-step_ahead,36055,972.0,597.0055309456345,701.1902952913649,794.4176455056019,898.0,1001.5823544943984,1094.8097047086349,1198.9944690543655,40.91509761189841
1210537,PatchSim_adpt,833.0,312.75510204081667,36,2021-05-03,2021-05-22,3-step_ahead,36055,972.0,220.01126401884983,432.18820934753023,622.0498893519398,833.0,1043.9501106480602,1233.8117906524699,1445.9887359811498,81.6533857867376
1210538,PatchSim_adpt,1772.0,486.09693877551047,36,2021-04-26,2021-05-22,4-step_ahead,36055,972.0,819.2675070048277,1149.0417071058068,1444.132597194226,1772.0,2099.867402805774,2394.958292894193,2724.732492995172,395.81036826614775
